STARTSTATIONNAME,STARTSTATIONARRONDISSEMENT,STARTSTATIONLATITUDE,STARTSTATIONLONGITUDE,ENDSTATIONNAME,ENDSTATIONARRONDISSEMENT,ENDSTATIONLATITUDE,ENDSTATIONLONGITUDE,STARTTIMEMS,ENDTIMEMS
Dorion / Gauthier,Le Plateau-Mont-Royal,45.5308116522186,-73.5664305339924,Métro Place-d'Armes (St-Urbain / Viger),Ville-Marie,45.5063863763071,-73.5596948862076,1745250165211,1745251294192
Messier / du Mont-Royal,Le Plateau-Mont-Royal,45.53711414,-73.5710031,Rivard / du Mont-Royal,Le Plateau-Mont-Royal,45.5245589565321,-73.5826331377029,1745237180654,1745237625207
Guy / Barré,Le Sud-Ouest,45.4897009285845,-73.5662877559662,Turgeon / Notre-Dame,Le Sud-Ouest,45.4788885280721,-73.5819894075394,1745245718787,1745246189959
Bloomfield / Van Horne,Outremont,45.5226910355524,-73.6132076382637,St-Dominique / Jean-Talon,Villeray—Saint-Michel—Parc-Extension,45.5352039824168,-73.6175217570053,1745227320418,1745227965509
Métro Mont-Royal (Utilités publiques / Rivard),Le Plateau-Mont-Royal,45.524247014284,-73.5816621780396,Complexe Desjardins (St-Urbain / René-Lévesque),Ville-Marie,45.5078852068848,-73.56315059591,1745253873909,1745255428307
Atwater / Sherbrooke,Ville-Marie,45.4912258547597,-73.5876300930977,Victoria / de Maisonneuve,Westmount,45.4774285648327,-73.6001694202423,1745240804122,1745241849348
Messier / du Mont-Royal,Le Plateau-Mont-Royal,45.53711414,-73.5710031,Métro Mont-Royal (Utilités publiques / Rivard),Le Plateau-Mont-Royal,45.524247014284,-73.5816621780396,1745238045546,1745238639343
Calixa-Lavallée / Rachel (ouest),Le Plateau-Mont-Royal,45.527831052779,-73.5719592869282,Montcalm / de Maisonneuve,Ville-Marie,45.5191319671162,-73.5578896521474,1745247623429,1745248253511
Prince-Arthur / du Parc,Le Plateau-Mont-Royal,45.5105010465965,-73.5755789279938,,,,,1745248228798,
de Bordeaux / du Mont-Royal,Le Plateau-Mont-Royal,45.5345120127013,-73.5728377103806,Rivard / du Mont-Royal,Le Plateau-Mont-Royal,45.5245589565321,-73.5826331377029,1745240305487,1745240599279
St-Dominique / Rachel,Le Plateau-Mont-Royal,45.5186116049139,-73.5815605645712,de Maisonneuve / Aylmer (ouest),Ville-Marie,45.5051734404233,-73.5706517100334,1745239920769,1745240370066
Parc Émilie-Gamelin (St-Hubert / de Maisonneuve sud),Ville-Marie,45.5158683512632,-73.5600838065147,de Maisonneuve / Aylmer (ouest),Ville-Marie,45.5051734404233,-73.5706517100334,1745250206279,1745250645228
Milton / Hutchison,Le Plateau-Mont-Royal,45.5089591312988,-73.5742115136418,Union / René-Lévesque,Ville-Marie,45.502350361368,-73.5665827989578,1745234870479,1745235165680
St-Dominique / Rachel,Le Plateau-Mont-Royal,45.5186116049139,-73.5815605645712,Gauthier / de Lorimier,Le Plateau-Mont-Royal,45.5316636305575,-73.5653637349606,1745248874047,1745249430802
